date,depth,tempC,tds,station
10/2/1985,0,17.03,5299.32,92
10/2/1985,1,17.03,5307.13,92
10/2/1985,2,17.00,5299.32,92
10/2/1985,3,17.00,5299.32,92
10/2/1985,4,16.84,5291.51,92
10/2/1985,5,16.81,5299.32,92
10/2/1985,6,16.80,5291.51,92
10/2/1985,7,16.80,5299.32,92
10/2/1985,8,16.78,5291.51,92
10/2/1985,9,16.76,5307.13,92
10/2/1985,10,16.75,5275.89,92
10/2/1985,11,16.75,5307.13,92
10/2/1985,12,16.75,5307.13,92
10/2/1985,13,16.74,5291.51,92
10/2/1985,14,16.74,5307.13,92
10/2/1985,15,16.73,5299.32,92
10/2/1985,16,16.72,5307.13,92
10/2/1985,17,16.72,5291.51,92
10/2/1985,18,16.72,5307.13,92
10/2/1985,19,16.72,5291.51,92
10/2/1985,20,16.72,5299.32,92
10/2/1985,21,16.68,5299.32,92
10/2/1985,22,16.42,5299.32,92
10/2/1985,23,15.55,5268.08,92
10/2/1985,24,14.57,5244.64,92
10/2/1985,25,12.15,5182.16,92
10/2/1985,26,11.26,5189.97,92
10/2/1985,27,8.46,5127.48,92
10/2/1985,28,8.49,5174.35,92
10/2/1985,29,8.44,5127.48,92
10/2/1985,0,16.98,5299.32,95
10/2/1985,1,16.99,5307.13,95
10/2/1985,2,16.90,5314.94,95
10/2/1985,3,16.90,5213.40,95
10/2/1985,4,16.87,5260.27,95
10/2/1985,5,16.86,5291.51,95
10/2/1985,6,16.85,5260.27,95
10/2/1985,7,16.85,5244.64,95
10/2/1985,8,16.84,5275.89,95
10/2/1985,9,16.84,5268.08,95
10/2/1985,10,16.82,5268.08,95
10/2/1985,11,16.79,5275.89,95
10/2/1985,12,16.77,5283.70,95
10/2/1985,13,16.77,5275.89,95
10/2/1985,14,16.66,5260.27,95
10/2/1985,15,16.55,5252.46,95
10/2/1985,16,16.53,5275.89,95
10/2/1985,17,16.36,5283.70,95
10/2/1985,18,16.27,5275.89,95
10/2/1985,19,16.12,5260.27,95
10/2/1985,20,15.80,5252.46,95
10/2/1985,21,15.51,5252.46,95
10/2/1985,22,15.33,5252.46,95
10/2/1985,23,13.56,5197.78,95
10/2/1985,24,12.07,5197.78,95
10/2/1985,25,11.90,5189.97,95
10/2/1985,26,10.41,5166.53,95
10/2/1985,27,10.18,5135.29,95
10/2/1985,28,10.00,5158.72,95
10/2/1985,29,9.18,5166.53,95
10/2/1985,30,8.20,5150.91,95
10/2/1985,35,6.73,5150.91,95
10/2/1985,40,6.21,5166.53,95
10/2/1985,45,6.09,5111.86,95
10/2/1985,50,6.08,5166.53,95
10/2/1985,55,6.07,5166.53,95
10/2/1985,60,6.04,5174.35,95
10/2/1985,65,6.03,5158.72,95
10/2/1985,70,6.12,5268.08,95
10/2/1985,75,6.32,5275.89,95
10/2/1985,77,6.32,5377.43,95
10/2/1985,0,17.06,5033.75,96
10/2/1985,1,16.99,5236.83,96
10/2/1985,2,16.97,5252.46,96
10/2/1985,3,16.93,5252.46,96
10/2/1985,4,16.92,5268.08,96
10/2/1985,5,16.91,5260.27,96
10/2/1985,6,16.90,5268.08,96
10/2/1985,7,16.89,5275.89,96
10/2/1985,8,16.88,5275.89,96
10/2/1985,9,16.87,5283.70,96
10/2/1985,10,16.79,5283.70,96
10/2/1985,11,16.77,5291.51,96
10/2/1985,12,16.77,5291.51,96
10/2/1985,13,16.75,5291.51,96
10/2/1985,14,16.74,5283.70,96
10/2/1985,15,15.98,5268.08,96
10/2/1985,16,14.97,5244.64,96
10/2/1985,17,14.21,5221.21,96
10/2/1985,18,13.02,5189.97,96
10/2/1985,19,11.80,5174.35,96
10/2/1985,20,11.09,5174.35,96
10/2/1985,21,10.20,5158.72,96
10/2/1985,22,9.65,5150.91,96
10/2/1985,23,9.33,5143.10,96
10/2/1985,24,8.94,5150.91,96
10/2/1985,25,8.48,5158.72,96
10/2/1985,26,8.12,5127.48,96
10/2/1985,27,7.88,5127.48,96
10/2/1985,28,7.74,5143.10,96
10/2/1985,29,7.60,5158.72,96
10/2/1985,30,7.36,5143.10,96
10/2/1985,31,7.15,5143.10,96
10/2/1985,32,7.01,5158.72,96
10/2/1985,33,6.85,5127.48,96
10/2/1985,34,6.73,5119.67,96
10/2/1985,35,6.60,5127.48,96
10/2/1985,36,6.49,5150.91,96
10/2/1985,37,6.39,5135.29,96
10/2/1985,38,6.31,5150.91,96
10/2/1985,39,6.24,5166.53,96
10/2/1985,40,6.16,5143.10,96
10/2/1985,45,5.92,5174.35,96
10/2/1985,50,5.83,5158.72,96
10/2/1985,55,5.77,5189.97,96
10/2/1985,60,5.79,5174.35,96
10/2/1985,65,5.88,5275.89,96
10/2/1985,70,5.94,5268.08,96
10/2/1985,75,6.07,5346.19,96
10/2/1985,80,6.21,5393.05,96
10/2/1985,85,6.31,5400.86,96
10/2/1985,90,6.38,5455.54,96
10/2/1985,95,6.45,5588.33,96
10/2/1985,100,6.46,5533.65,96
10/2/1985,102,6.47,5549.27,96
11/7/1985,0,12.62,4783.80,92
11/7/1985,1,12.61,4971.26,92
11/7/1985,2,12.61,4963.45,92
11/7/1985,3,12.59,4994.69,92
11/7/1985,4,12.59,5018.13,92
11/7/1985,5,12.61,5057.18,92
11/7/1985,6,12.64,5088.42,92
11/7/1985,7,12.66,5096.24,92
11/7/1985,8,12.66,5104.05,92
11/7/1985,9,12.65,5104.05,92
11/7/1985,10,12.63,5111.86,92
11/7/1985,11,12.61,5111.86,92
11/7/1985,12,12.59,5104.05,92
11/7/1985,13,12.59,5111.86,92
11/7/1985,14,12.58,5096.24,92
11/7/1985,15,12.57,5119.67,92
11/7/1985,16,12.57,5111.86,92
11/7/1985,17,12.56,5088.42,92
11/7/1985,18,12.55,5119.67,92
11/7/1985,19,12.55,5088.42,92
11/7/1985,20,12.54,5104.05,92
11/7/1985,21,12.48,5088.42,92
11/7/1985,22,12.27,5096.24,92
11/7/1985,23,12.17,5096.24,92
11/7/1985,24,10.63,5080.61,92
11/7/1985,25,10.09,5080.61,92
11/7/1985,26,9.31,5025.94,92
11/7/1985,27,8.82,5049.37,92
11/7/1985,28,8.03,4979.07,92
11/7/1985,29,7.86,5018.13,92
11/7/1985,30,7.61,4994.69,92
11/7/1985,35,6.56,5010.31,92
11/7/1985,40,6.45,5033.75,92
11/7/1985,45,6.24,5018.13,92
11/7/1985,47,6.21,5057.18,92
11/7/1985,0,12.84,4916.58,96
11/7/1985,1,12.84,4947.83,96
11/7/1985,2,12.81,5018.13,96
11/7/1985,3,12.80,5064.99,96
11/7/1985,4,12.80,5072.80,96
11/7/1985,5,12.78,5080.61,96
11/7/1985,6,12.78,5088.42,96
11/7/1985,7,12.77,5064.99,96
11/7/1985,8,12.75,5080.61,96
11/7/1985,9,12.75,5088.42,96
11/7/1985,10,12.75,5072.80,96
11/7/1985,11,12.75,5088.42,96
11/7/1985,12,12.75,5088.42,96
11/7/1985,13,12.74,5088.42,96
11/7/1985,14,12.74,5088.42,96
11/7/1985,15,12.74,5088.42,96
11/7/1985,16,12.74,5104.05,96
11/7/1985,17,12.72,5111.86,96
11/7/1985,18,12.72,5104.05,96
11/7/1985,19,12.72,5104.05,96
11/7/1985,20,12.72,5111.86,96
11/7/1985,21,12.69,5096.24,96
11/7/1985,22,12.70,5072.80,96
11/7/1985,23,11.15,5041.56,96
11/7/1985,24,10.30,5018.13,96
11/7/1985,25,9.53,5033.75,96
11/7/1985,26,9.14,5002.50,96
11/7/1985,27,8.84,4986.88,96
11/7/1985,28,8.29,4971.26,96
11/7/1985,29,7.99,5002.50,96
11/7/1985,30,7.60,4979.07,96
11/7/1985,35,6.79,4986.88,96
11/7/1985,40,6.47,4979.07,96
11/7/1985,45,6.12,4979.07,96
11/7/1985,50,6.02,4994.69,96
11/7/1985,55,5.89,5018.13,96
11/7/1985,60,5.88,5018.13,96
11/7/1985,65,5.94,5057.18,96
11/7/1985,70,6.02,5096.24,96
11/7/1985,75,6.09,5135.29,96
11/7/1985,80,6.23,5197.78,96
11/7/1985,85,6.34,5291.51,96
11/7/1985,90,6.43,5291.51,96
11/7/1985,95,6.45,5330.57,96
11/7/1985,100,6.47,5408.68,96
12/12/1985,0,5.20,4237.03,92
12/12/1985,1,6.48,5025.94,92
12/12/1985,2,6.40,5111.86,92
12/12/1985,3,6.95,5158.72,92
