date,temp_c,depth,
10/2/1985,17.03,0,
10/2/1985,17.03,1,
10/2/1985,17,2,
10/2/1985,17,3,
10/2/1985,16.84,4,
10/2/1985,16.81,5,
10/2/1985,16.8,6,
10/2/1985,16.8,7,
10/2/1985,16.78,8,
10/2/1985,16.76,9,
10/2/1985,16.75,10,
10/2/1985,16.75,11,
10/2/1985,16.75,12,
10/2/1985,16.74,13,
10/2/1985,16.74,14,
10/2/1985,16.73,15,
10/2/1985,16.72,16,
10/2/1985,16.72,17,
10/2/1985,16.72,18,
10/2/1985,16.72,19,
10/2/1985,16.72,20,
10/2/1985,16.68,21,
10/2/1985,16.42,22,
10/2/1985,15.55,23,
10/2/1985,14.57,24,
10/2/1985,12.15,25,
10/2/1985,11.26,26,
10/2/1985,8.46,27,
10/2/1985,8.49,28,
10/2/1985,8.44,29,
10/2/1985,16.98,0,
10/2/1985,16.99,1,
10/2/1985,16.9,2,
10/2/1985,16.9,3,
10/2/1985,16.87,4,
10/2/1985,16.86,5,
10/2/1985,16.85,6,
10/2/1985,16.85,7,
10/2/1985,16.84,8,
10/2/1985,16.84,9,
10/2/1985,16.82,10,
10/2/1985,16.79,11,
10/2/1985,16.77,12,
10/2/1985,16.77,13,
10/2/1985,16.66,14,
10/2/1985,16.55,15,
10/2/1985,16.53,16,
10/2/1985,16.36,17,
10/2/1985,16.27,18,
10/2/1985,16.12,19,
10/2/1985,15.8,20,
10/2/1985,15.51,21,
10/2/1985,15.33,22,
10/2/1985,13.56,23,
10/2/1985,12.07,24,
10/2/1985,11.9,25,
10/2/1985,10.41,26,
10/2/1985,10.18,27,
10/2/1985,10,28,
10/2/1985,9.18,29,
10/2/1985,8.2,30,
10/2/1985,6.73,35,
10/2/1985,6.21,40,
10/2/1985,6.09,45,
10/2/1985,6.08,50,
10/2/1985,6.07,55,
10/2/1985,6.04,60,
10/2/1985,6.03,65,
10/2/1985,6.12,70,
10/2/1985,6.32,75,
10/2/1985,6.32,77,
10/2/1985,17.06,0,
10/2/1985,16.99,1,
10/2/1985,16.97,2,
10/2/1985,16.93,3,
10/2/1985,16.92,4,
10/2/1985,16.91,5,
10/2/1985,16.9,6,
10/2/1985,16.89,7,
10/2/1985,16.88,8,
10/2/1985,16.87,9,
10/2/1985,16.79,10,
10/2/1985,16.77,11,
10/2/1985,16.77,12,
10/2/1985,16.75,13,
10/2/1985,16.74,14,
10/2/1985,15.98,15,
10/2/1985,14.97,16,
10/2/1985,14.21,17,
10/2/1985,13.02,18,
10/2/1985,11.8,19,
10/2/1985,11.09,20,
10/2/1985,10.2,21,
10/2/1985,9.65,22,
10/2/1985,9.33,23,
10/2/1985,8.94,24,
10/2/1985,8.48,25,
10/2/1985,8.12,26,
10/2/1985,7.88,27,
10/2/1985,7.74,28,
10/2/1985,7.6,29,
10/2/1985,7.36,30,
10/2/1985,7.15,31,
10/2/1985,7.01,32,
10/2/1985,6.85,33,
10/2/1985,6.73,34,
10/2/1985,6.6,35,
10/2/1985,6.49,36,
10/2/1985,6.39,37,
10/2/1985,6.31,38,
10/2/1985,6.24,39,
10/2/1985,6.16,40,
10/2/1985,5.92,45,
10/2/1985,5.83,50,
10/2/1985,5.77,55,
10/2/1985,5.79,60,
10/2/1985,5.88,65,
10/2/1985,5.94,70,
10/2/1985,6.07,75,
10/2/1985,6.21,80,
10/2/1985,6.31,85,
10/2/1985,6.38,90,
10/2/1985,6.45,95,
10/2/1985,6.46,100,
10/2/1985,6.47,102,
11/7/1985,12.62,0,
11/7/1985,12.61,1,
11/7/1985,12.61,2,
11/7/1985,12.59,3,
11/7/1985,12.59,4,
11/7/1985,12.61,5,
11/7/1985,12.64,6,
11/7/1985,12.66,7,
11/7/1985,12.66,8,
11/7/1985,12.65,9,
11/7/1985,12.63,10,
11/7/1985,12.61,11,
11/7/1985,12.59,12,
11/7/1985,12.59,13,
11/7/1985,12.58,14,
11/7/1985,12.57,15,
11/7/1985,12.57,16,
11/7/1985,12.56,17,
11/7/1985,12.55,18,
11/7/1985,12.55,19,
11/7/1985,12.54,20,
11/7/1985,12.48,21,
11/7/1985,12.27,22,
11/7/1985,12.17,23,
11/7/1985,10.63,24,
11/7/1985,10.09,25,
11/7/1985,9.31,26,
11/7/1985,8.82,27,
11/7/1985,8.03,28,
11/7/1985,7.86,29,
11/7/1985,7.61,30,
11/7/1985,6.56,35,
11/7/1985,6.45,40,
11/7/1985,6.24,45,
11/7/1985,6.21,47,
11/7/1985,12.84,0,
11/7/1985,12.84,1,
11/7/1985,12.81,2,
11/7/1985,12.8,3,
11/7/1985,12.8,4,
11/7/1985,12.78,5,
11/7/1985,12.78,6,
11/7/1985,12.77,7,
11/7/1985,12.75,8,
11/7/1985,12.75,9,
11/7/1985,12.75,10,
11/7/1985,12.75,11,
11/7/1985,12.75,12,
11/7/1985,12.74,13,
11/7/1985,12.74,14,
11/7/1985,12.74,15,
11/7/1985,12.74,16,
11/7/1985,12.72,17,
11/7/1985,12.72,18,
11/7/1985,12.72,19,
11/7/1985,12.72,20,
11/7/1985,12.69,21,
11/7/1985,12.7,22,
11/7/1985,11.15,23,
11/7/1985,10.3,24,
11/7/1985,9.53,25,
11/7/1985,9.14,26,
11/7/1985,8.84,27,
11/7/1985,8.29,28,
11/7/1985,7.99,29,
11/7/1985,7.6,30,
11/7/1985,6.79,35,
11/7/1985,6.47,40,
11/7/1985,6.12,45,
11/7/1985,6.02,50,
11/7/1985,5.89,55,
11/7/1985,5.88,60,
11/7/1985,5.94,65,
11/7/1985,6.02,70,
11/7/1985,6.09,75,
11/7/1985,6.23,80,
11/7/1985,6.34,85,
11/7/1985,6.43,90,
11/7/1985,6.45,95,
11/7/1985,6.47,100,
12/12/1985,5.2,0,
12/12/1985,6.48,1,
12/12/1985,6.4,2,
12/12/1985,6.95,3,
12/12/1985,6.96,4,
12/12/1985,6.95,5,
12/12/1985,6.93,6,
12/12/1985,7.02,7,
12/12/1985,7.06,8,
12/12/1985,7.06,9,
12/12/1985,7.06,10,
12/12/1985,7.1,15,
12/12/1985,7.14,20,
12/12/1985,7.14,25,
12/12/1985,7.13,30,
12/12/1985,7.08,35,
12/12/1985,7.07,39,
12/12/1985,7.22,0,
12/12/1985,7.29,1,
12/12/1985,7.29,2,
12/12/1985,7.25,3,
12/12/1985,7.26,4,
12/12/1985,7.26,5,
12/12/1985,7.26,6,
12/12/1985,7.28,7,
12/12/1985,7.26,8,
12/12/1985,7.28,9,
12/12/1985,7.28,10,
12/12/1985,7.26,15,
12/12/1985,7.25,20,
12/12/1985,7.25,25,
12/12/1985,7.26,30,
12/12/1985,7.25,35,
12/12/1985,7.25,40,
12/12/1985,7.25,45,
12/12/1985,7.23,50,
12/12/1985,7.19,55,
12/12/1985,7.01,60,
12/12/1985,6.59,65,
12/12/1985,6.21,70,
12/12/1985,6.27,75,
12/12/1985,7.25,0,
12/12/1985,7.28,1,
12/12/1985,7.28,2,
12/12/1985,7.29,3,
12/12/1985,7.29,4,
12/12/1985,7.29,5,
12/12/1985,7.29,6,
12/12/1985,7.3,7,
12/12/1985,7.3,8,
12/12/1985,7.3,9,
12/12/1985,7.3,10,
12/12/1985,7.32,15,
12/12/1985,7.32,20,
12/12/1985,7.32,25,
12/12/1985,7.32,30,
12/12/1985,7.32,35,
12/12/1985,7.31,40,
12/12/1985,7.31,45,
12/12/1985,7.17,50,
12/12/1985,6.13,55,
12/12/1985,6.13,60,
12/12/1985,6.03,65,
12/12/1985,6,70,
12/12/1985,6.05,75,
12/12/1985,6.08,80,
12/12/1985,6.15,85,
12/12/1985,6.26,90,
12/12/1985,6.34,95,
12/12/1985,6.36,100,
12/12/1985,6.36,103,
12/12/1985,7.16,0,
12/12/1985,7.16,1,
12/12/1985,7.17,2,
12/12/1985,7.16,3,
12/12/1985,7.15,4,
12/12/1985,7.16,5,
12/12/1985,7.17,6,
12/12/1985,7.17,7,
12/12/1985,7.17,8,
12/12/1985,7.18,9,
12/12/1985,7.17,10,
12/12/1985,7.18,15,
12/12/1985,7.17,20,
12/12/1985,7.17,25,
12/12/1985,7.03,30,
12/12/1985,6.99,35,
12/12/1985,6.88,40,
12/12/1985,6.84,45,
12/12/1985,6.79,50,
12/12/1985,6.42,55,
12/12/1985,6.04,60,
12/12/1985,5.99,65,
12/12/1985,6.06,70,
12/12/1985,6.16,75,
1/8/1986,6.02,0,
1/8/1986,6.03,1,
1/8/1986,6,2,
1/8/1986,6,3,
1/8/1986,6,4,
1/8/1986,6,5,
1/8/1986,5.99,6,
1/8/1986,5.97,7,
1/8/1986,5.98,8,
1/8/1986,5.99,9,
1/8/1986,5.99,10,
1/8/1986,5.97,15,
1/8/1986,5.97,20,
1/8/1986,5.95,25,
1/8/1986,5.99,30,
1/8/1986,5.99,35,
1/8/1986,6.04,40,
1/8/1986,6.1,45,
1/8/1986,6.15,50,
1/8/1986,6.11,55,
1/8/1986,6.12,60,
1/8/1986,6.15,65,
1/8/1986,6.17,70,
1/8/1986,6.18,75,
1/8/1986,6.28,0,
1/8/1986,6.24,1,
1/8/1986,6.24,2,
1/8/1986,6.22,3,
1/8/1986,6.22,4,
1/8/1986,6.21,5,
1/8/1986,6.21,6,
1/8/1986,6.21,7,
1/8/1986,6.22,8,
1/8/1986,6.21,9,
1/8/1986,6.21,10,
1/8/1986,6.22,15,
1/8/1986,6.21,20,
1/8/1986,6.21,25,
1/8/1986,6.19,30,
1/8/1986,6.18,35,
1/8/1986,6.18,40,
1/8/1986,6.17,45,
1/8/1986,6.15,50,
1/8/1986,6.06,55,
1/8/1986,5.97,60,
1/8/1986,6.03,65,
1/8/1986,6.14,70,
1/8/1986,6.25,75,
1/13/1986,6.38,0,
1/13/1986,6.37,1,
1/13/1986,6.37,2,
1/13/1986,6.37,3,
1/13/1986,6.37,4,
1/13/1986,6.35,5,
1/13/1986,6.35,6,
1/13/1986,6.35,7,
1/13/1986,6.34,8,
1/13/1986,6.32,9,
1/13/1986,6.32,10,
1/13/1986,6.29,15,
1/13/1986,6.28,20,
1/13/1986,6.28,25,
1/13/1986,6.28,30,
1/13/1986,6.28,35,
1/13/1986,6.28,40,
1/13/1986,6.26,45,
1/13/1986,6.27,50,
1/13/1986,6.26,55,
1/13/1986,6.25,60,
1/13/1986,6.25,65,
1/13/1986,6.26,70,
1/13/1986,6.22,75,
1/13/1986,6.15,80,
1/13/1986,6.15,85,
1/13/1986,6.2,90,
1/13/1986,6.26,95,
1/13/1986,6.37,100,
1/13/1986,6.37,105,
2/27/1986,9.18,0,
2/27/1986,6.93,1,
2/27/1986,6.3,2,
2/27/1986,7.71,2,
2/27/1986,6.22,3,
2/27/1986,7.56,3,
2/27/1986,6.18,4,
2/27/1986,7.21,4,
2/27/1986,6.16,5,
2/27/1986,7.12,5,
2/27/1986,6.96,6,
2/27/1986,6.89,7,
2/27/1986,6.89,8,
2/27/1986,6.24,9,
2/27/1986,6.13,10,
2/27/1986,6.17,10,
2/27/1986,6.13,15,
2/27/1986,6.15,15,
2/27/1986,6.12,20,
2/27/1986,6.13,20,
2/27/1986,6.11,24,
2/27/1986,6.12,25,
2/27/1986,6.15,30,
2/27/1986,6.13,35,
2/27/1986,6.09,40,
2/27/1986,6.09,45,
2/27/1986,6.06,50,
2/27/1986,6.06,55,
2/27/1986,6.05,60,
2/27/1986,6.06,65,
2/27/1986,6.07,70,
2/27/1986,6.11,75,
2/27/1986,6.18,78,
2/27/1986,10.23,0,
2/27/1986,8.8,1,
2/27/1986,8.18,2,
2/27/1986,7.58,3,
2/27/1986,7.14,4,
2/27/1986,6.65,5,
2/27/1986,6.29,10,
2/27/1986,6.22,15,
2/27/1986,6.16,20,
2/27/1986,6.14,25,
2/27/1986,6.12,30,
2/27/1986,6.1,35,
2/27/1986,6.09,40,
2/27/1986,6.09,45,
2/27/1986,6.11,50,
2/27/1986,6.08,55,
2/27/1986,6.05,60,
2/27/1986,6.08,65,
2/27/1986,6.13,70,
2/27/1986,6.21,75,
2/27/1986,6.27,80,
2/27/1986,6.3,85,
2/27/1986,6.33,90,
2/27/1986,6.36,95,
2/27/1986,6.37,98,
3/5/1986,10.5,0,
3/5/1986,10.2,1,
3/5/1986,10.07,2,
3/5/1986,9.6,3,
